"fy_ef","org_id","org_name","voted_or_statutory","description","authorities","expenditures"
"FY 2011-12",127,"Department of Health","S","Spending of proceeds from the disposal of surplus Crown assets",494907.00,122593.66
"FY 2011-12",128,"Department of Employment and Social Development",1,"Operating/Program",783436633.00,769346179.00
"FY 2011-12",128,"Department of Employment and Social Development",5,"Grants & Contributions",1868885713.00,1647406307.00
"FY 2011-12",128,"Department of Employment and Social Development",7,"Debt Forgiveness",311768275.00,302417361.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Allowance payments (Old Age Security Act)",555962022.00,555962022.20
"FY 2011-12",128,"Department of Employment and Social Development","S","Canada Disability Savings Bond payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals with disabilities",70009827.00,70009827.14
"FY 2011-12",128,"Department of Employment and Social Development","S","Canada Disability Savings Grant payments to Registered Disability Savings Plan issuers on behalf of Registered Disability Savings Plan beneficiaries to encourage long-term financial security of eligible individuals disabilities",142831948.00,142831948.10
"FY 2011-12",128,"Department of Employment and Social Development","S","Canada Education Savings grant payments to Registered Educations Savings Plans (RESPs) trustees on behalf of RESP beneficiaries to encourage Canadians to save for post-secondary education for their children",691542116.00,691542116.20
"FY 2011-12",128,"Department of Employment and Social Development","S","Canada Learning Bond payments to Registered Education Savings Plan trustees on behalf of Registered Education Savings Plan beneficiaries to support access to post-secondary education for children from low-income families",88453542.00,88453542.28
"FY 2011-12",128,"Department of Employment and Social Development","S","Canada Student Grants to qualifying full and part-time students pursuant to the Canada Student Financial Assistance Act",648936690.00,648936689.60
"FY 2011-12",128,"Department of Employment and Social Development","S","Civil Service Insurance actuarial liability adjustments",-12507.00,-12507.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Contributions to employee benefit plans",259792635.00,259792634.60
"FY 2011-12",128,"Department of Employment and Social Development","S","Energy Cost Benefit",-7875.00,-7875.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Guaranteed Income Supplement Payments (Old Age Security Act)",8638062109.00,8638062109.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Old Age Security payments (Old Age Security Act)",28868796840.00,28868796840.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Payments of compensation respecting government employees (Government Employees Compensation Act) and merchant seamen (Merchant Seamen Compensation Act)",43865837.00,43865836.23
"FY 2011-12",128,"Department of Employment and Social Development","S","Payments related to the direct financing arrangement under the Canada Student Financial Assistance Act",493520224.00,493520224.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Refunds of amounts credited to revenues in previous years",21015.00,21015.10
"FY 2011-12",128,"Department of Employment and Social Development","S","Salary and Motor Car Allowance",157093.00,157093.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Spending of proceeds from the disposal of surplus Crown assets",230508.00,79656.81
"FY 2011-12",128,"Department of Employment and Social Development","S","Spending pursuant to section 12(4) of the Canada Education Savings Act",745427.00,310446.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Supplementary retirement benefits — Annuities agents' pensions",4237.00,4237.18
"FY 2011-12",128,"Department of Employment and Social Development","S","The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act",10834527.00,10834527.23
"FY 2011-12",128,"Department of Employment and Social Development","S","The provision of funds for interest payments to lending institutions under the Canada Student Loans Act",6526.00,6526.44
"FY 2011-12",128,"Department of Employment and Social Development","S","The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act",-8475496.00,-8475495.85
"FY 2011-12",128,"Department of Employment and Social Development","S","Transfer Payments in Connection with the Budget Implementation Act",6000000.00,6000000.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Universal Child Care Benefit (Universal Child Care Benefit Act)",2691016827.00,2691016827.00
"FY 2011-12",128,"Department of Employment and Social Development","S","Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",32573800.00,32573799.59
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs",1,"Operating/Program",1387289273.00,1343312841.00
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs",10,"Grants & Contributions",6371857634.00,6338019045.00
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs",5,"Capital",5102055.00,2054014.00
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Contributions to employee benefit plans",72025681.00,72025681.34
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Court Awards",299565.00,299564.57
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act",36715426.00,36715426.00
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts",77294428.00,77294428.00
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Indian Annuities Treaty payments",1866646.00,1866645.59
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development",88623.00,88623.57
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Payment from the Consolidated Revenue Fund of guaranteed loans issued out of the Indian economic development account (authorized limit $60,000,000)",32490796.00,0.00
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Payments to comprehensive claim beneficiaries in compensation for resource royalties",7553204.00,7553203.88
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Refunds of amounts credited to revenues in previous years",1223282.00,1223281.76
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Salary and Motor Car Allowance",77536.00,77536.36
"FY 2011-12",129,"Department of Crown-Indigenous Relations and Northern Affairs","S","Spending of proceeds from the disposal of surplus Crown assets",745109.00,352845.99
"FY 2011-12",130,"Department of Industry",1,"Operating/Program",441380244.00,403765189.00
"FY 2011-12",130,"Department of Industry",10,"Grants & Contributions",750345737.00,654278419.00
"FY 2011-12",130,"Department of Industry",5,"Capital",15611312.00,13978234.00
"FY 2011-12",130,"Department of Industry","S","Canadian Intellectual Property Office Revolving Fund",158152609.00,-4987335.30
"FY 2011-12",130,"Department of Industry","S","Canadian Youth Business Foundation",11010400.00,11010400.00
"FY 2011-12",130,"Department of Industry","S","Contributions to employee benefit plans",60297940.00,60297939.60
"FY 2011-12",130,"Department of Industry","S","Contributions under the Knowledge infrastructure program",182771499.00,182771498.90
"FY 2011-12",130,"Department of Industry","S","Grant and Contribution to Genome Canada",55100000.00,55100000.00
"FY 2011-12",130,"Department of Industry","S","Liabilities under the Canada Small Business Financing Act",69360155.00,69360154.66
"FY 2011-12",130,"Department of Industry","S","Liabilities under the Small Business Loans Act",37396.00,37396.01
"FY 2011-12",130,"Department of Industry","S","Refunds of amounts credited to revenues in previous years",852352.00,852352.21
"FY 2011-12",130,"Department of Industry","S","Salary and Motor Car Allowance",81577.00,81577.00
"FY 2011-12",130,"Department of Industry","S","Spending of proceeds from the disposal of surplus Crown assets",494168.00,164354.40
"FY 2011-12",132,"Department of Justice",1,"Operating/Program",323544809.00,284965006.00
"FY 2011-12",132,"Department of Justice",5,"Grants & Contributions",395698536.00,381614514.00
"FY 2011-12",132,"Department of Justice","S","Contributions to employee benefit plans",78266591.00,78266591.20
"FY 2011-12",132,"Department of Justice","S","Refunds of amounts credited to revenues in previous years",84117.00,84117.04
"FY 2011-12",132,"Department of Justice","S","Salary and Motor Car Allowance",77537.00,77536.36
"FY 2011-12",132,"Department of Justice","S","Spending of proceeds from the disposal of surplus Crown assets",19114.00,0.00
"FY 2011-12",133,"Department of National Defence",1,"Operating/Program",15417928462.00,15039558546.00
"FY 2011-12",133,"Department of National Defence",10,"Grants & Contributions",241678002.00,205008428.00
"FY 2011-12",133,"Department of National Defence",5,"Capital",4322834649.00,3255231544.00
"FY 2011-12",133,"Department of National Defence","S","Collection Agency Fees",2534.00,2534.37
"FY 2011-12",133,"Department of National Defence","S","Contributions to employee benefit plans",332628046.00,332628046.00
"FY 2011-12",133,"Department of National Defence","S","Contributions to employee benefit plans (Members of the Military)",1360948151.00,1360948151.00
"FY 2011-12",133,"Department of National Defence","S","Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",44918.00,44917.68
"FY 2011-12",133,"Department of National Defence","S","Payments under Parts I-IV of the Defence Services Pension Continuation Act",811472.00,811471.50
"FY 2011-12",133,"Department of National Defence","S","Payments under the Supplementary Retirement Benefits Act",3881303.00,3881302.84
"FY 2011-12",133,"Department of National Defence","S","Salary and Motor Car Allowance",145055.00,145055.00
"FY 2011-12",133,"Department of National Defence","S","Spending of proceeds from the disposal of surplus Crown assets",37222217.00,20497864.08
"FY 2011-12",134,"Department of Natural Resources",1,"Operating/Program",844592937.00,755418094.00
"FY 2011-12",134,"Department of Natural Resources",10,"Grants & Contributions",1716487961.00,1285909038.00
"FY 2011-12",134,"Department of Natural Resources",5,"Capital",23757713.00,21361585.00
"FY 2011-12",134,"Department of Natural Resources","S","Collection Agency Fees",4614.00,4614.00
"FY 2011-12",134,"Department of Natural Resources","S","Contribution to the Canada/Newfoundland Offshore Petroleum Board",3447813.00,3447812.50
"FY 2011-12",134,"Department of Natural Resources","S","Contribution to the Canada/Nova Scotia Offshore Petroleum Board",2240265.00,2240265.00
"FY 2011-12",134,"Department of Natural Resources","S","Contributions to employee benefit plans",64134812.00,64134811.57
"FY 2011-12",134,"Department of Natural Resources","S","Geomatics Canada Revolving Fund",7557416.00,448096.47
"FY 2011-12",134,"Department of Natural Resources","S","Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund",1059753176.00,1059753176.00
"FY 2011-12",134,"Department of Natural Resources","S","Payments to the Nova Scotia Offshore Revenue Account",157288886.00,157288886.10
"FY 2011-12",134,"Department of Natural Resources","S","Pursuant to section 2146 of the Job and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited",1740702.00,1740702.00
"FY 2011-12",134,"Department of Natural Resources","S","Refunds of amounts credited to revenues in previous years",43266.00,43265.89
"FY 2011-12",134,"Department of Natural Resources","S","Salary and Motor Car Allowance",77516.00,77516.00
"FY 2011-12",134,"Department of Natural Resources","S","Spending of proceeds from the disposal of surplus Crown assets",748274.00,304742.24
"FY 2011-12",135,"Department of Public Safety and Emergency Preparedness",1,"Operating/Program",152158975.00,141648763.00
"FY 2011-12",135,"Department of Public Safety and Emergency Preparedness",5,"Grants & Contributions",246043792.00,244162360.00
