fy_ef,org_id,org_name,voted_or_statutory,description,authorities,expenditures
FY 2011-12,128,Department of Employment and Social Development,S,Spending pursuant to section 12(4) of the Canada Education Savings Act,745427,310446
FY 2011-12,128,Department of Employment and Social Development,S,Supplementary retirement benefits — Annuities agents' pensions,4237,4237.18
FY 2011-12,128,Department of Employment and Social Development,S,The provision of funds for interest and other payments to lending institutions and liabilities under the Canada Student Financial Assistance Act,10834527,10834527.23
FY 2011-12,128,Department of Employment and Social Development,S,The provision of funds for interest payments to lending institutions under the Canada Student Loans Act,6526,6526.44
FY 2011-12,128,Department of Employment and Social Development,S,The provision of funds for liabilities including liabilities in the form of guaranteed loans under the Canada Student Loans Act,-8475496,-8475495.85
FY 2011-12,128,Department of Employment and Social Development,S,Transfer Payments in Connection with the Budget Implementation Act,6000000,6000000
FY 2011-12,128,Department of Employment and Social Development,S,Universal Child Care Benefit (Universal Child Care Benefit Act),2691016827,2691016827
FY 2011-12,128,Department of Employment and Social Development,S,"Wage Earner Protection Program payments to eligible applicants owed wages and vacation pay, severance pay and termination pay from employers who are either bankrupt or in receivership as well as payments to trustees and receivers who will provide the necessary information to determine eligibility",32573800,32573799.59
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,1,Operating/Program,1387289273,1343312841
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,10,Grants & Contributions,6371857634,6338019045
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,5,Capital,5102055,2054014
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Contributions to employee benefit plans,72025681,72025681.34
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Court Awards,299565,299564.57
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Grant to the Nunatsiavut Government for the implementation of the Labrador Inuit Land Claims Agreement pursuant to the Labrador Inuit Land Claims Agreement Act,36715426,36715426
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Grants to Aboriginal organizations designated to receive claim settlement payments pursuant to Comprehensive Land Settlement Acts,77294428,77294428
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Indian Annuities Treaty payments,1866646,1866645.59
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Liabilities in respect of loan guarantees made to Indians for Housing and Economic Development,88623,88623.57
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,"Payment from the Consolidated Revenue Fund of guaranteed loans issued out of the Indian economic development account (authorized limit $60,000,000)",32490796,0
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Payments to comprehensive claim beneficiaries in compensation for resource royalties,7553204,7553203.88
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Refunds of amounts credited to revenues in previous years,1223282,1223281.76
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,129,Department of Crown-Indigenous Relations and Northern Affairs,S,Spending of proceeds from the disposal of surplus Crown assets,745109,352845.99
FY 2011-12,130,Department of Industry,1,Operating/Program,441380244,403765189
FY 2011-12,130,Department of Industry,10,Grants & Contributions,750345737,654278419
FY 2011-12,130,Department of Industry,5,Capital,15611312,13978234
FY 2011-12,130,Department of Industry,S,Canadian Intellectual Property Office Revolving Fund,158152609,-4987335.3
FY 2011-12,130,Department of Industry,S,Canadian Youth Business Foundation,11010400,11010400
FY 2011-12,130,Department of Industry,S,Contributions to employee benefit plans,60297940,60297939.6
FY 2011-12,130,Department of Industry,S,Contributions under the Knowledge infrastructure program,182771499,182771498.9
FY 2011-12,130,Department of Industry,S,Grant and Contribution to Genome Canada,55100000,55100000
FY 2011-12,130,Department of Industry,S,Liabilities under the Canada Small Business Financing Act,69360155,69360154.66
FY 2011-12,130,Department of Industry,S,Liabilities under the Small Business Loans Act,37396,37396.01
FY 2011-12,130,Department of Industry,S,Refunds of amounts credited to revenues in previous years,852352,852352.21
FY 2011-12,130,Department of Industry,S,Salary and Motor Car Allowance,81577,81577
FY 2011-12,130,Department of Industry,S,Spending of proceeds from the disposal of surplus Crown assets,494168,164354.4
FY 2011-12,132,Department of Justice,1,Operating/Program,323544809,284965006
FY 2011-12,132,Department of Justice,5,Grants & Contributions,395698536,381614514
FY 2011-12,132,Department of Justice,S,Contributions to employee benefit plans,78266591,78266591.2
FY 2011-12,132,Department of Justice,S,Refunds of amounts credited to revenues in previous years,84117,84117.04
FY 2011-12,132,Department of Justice,S,Salary and Motor Car Allowance,77537,77536.36
FY 2011-12,132,Department of Justice,S,Spending of proceeds from the disposal of surplus Crown assets,19114,0
FY 2011-12,133,Department of National Defence,1,Operating/Program,15417928462,15039558546
FY 2011-12,133,Department of National Defence,10,Grants & Contributions,241678002,205008428
FY 2011-12,133,Department of National Defence,5,Capital,4322834649,3255231544
FY 2011-12,133,Department of National Defence,S,Collection Agency Fees,2534,2534.37
FY 2011-12,133,Department of National Defence,S,Contributions to employee benefit plans,332628046,332628046
FY 2011-12,133,Department of National Defence,S,Contributions to employee benefit plans (Members of the Military),1360948151,1360948151
FY 2011-12,133,Department of National Defence,S,"Payments to dependants of certain members of the Royal Canadian Air Force killed while serving as instructors under British Commonwealth Air Training Plan (Appropriation Act No. 4, 1968)",44918,44917.68
FY 2011-12,133,Department of National Defence,S,Payments under Parts I-IV of the Defence Services Pension Continuation Act,811472,811471.5
FY 2011-12,133,Department of National Defence,S,Payments under the Supplementary Retirement Benefits Act,3881303,3881302.84
FY 2011-12,133,Department of National Defence,S,Salary and Motor Car Allowance,145055,145055
FY 2011-12,133,Department of National Defence,S,Spending of proceeds from the disposal of surplus Crown assets,37222217,20497864.08
FY 2011-12,134,Department of Natural Resources,1,Operating/Program,844592937,755418094
FY 2011-12,134,Department of Natural Resources,10,Grants & Contributions,1716487961,1285909038
FY 2011-12,134,Department of Natural Resources,5,Capital,23757713,21361585
FY 2011-12,134,Department of Natural Resources,S,Collection Agency Fees,4614,4614
FY 2011-12,134,Department of Natural Resources,S,Contribution to the Canada/Newfoundland Offshore Petroleum Board,3447813,3447812.5
FY 2011-12,134,Department of Natural Resources,S,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,2240265,2240265
FY 2011-12,134,Department of Natural Resources,S,Contributions to employee benefit plans,64134812,64134811.57
FY 2011-12,134,Department of Natural Resources,S,Geomatics Canada Revolving Fund,7557416,448096.47
FY 2011-12,134,Department of Natural Resources,S,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,1059753176,1059753176
FY 2011-12,134,Department of Natural Resources,S,Payments to the Nova Scotia Offshore Revenue Account,157288886,157288886.1
FY 2011-12,134,Department of Natural Resources,S,"Pursuant to section 2146 of the Job and Economic Growth Act, for the divestiture of Atomic Energy of Canada Limited",1740702,1740702
FY 2011-12,134,Department of Natural Resources,S,Refunds of amounts credited to revenues in previous years,43266,43265.89
FY 2011-12,134,Department of Natural Resources,S,Salary and Motor Car Allowance,77516,77516
FY 2011-12,134,Department of Natural Resources,S,Spending of proceeds from the disposal of surplus Crown assets,748274,304742.24
FY 2011-12,135,Department of Public Safety and Emergency Preparedness,1,Operating/Program,152158975,141648763
FY 2011-12,135,Department of Public Safety and Emergency Preparedness,5,Grants & Contributions,246043792,244162360
FY 2011-12,135,Department of Public Safety and Emergency Preparedness,S,Contributions to employee benefit plans,15676137,15676136.42
FY 2011-12,135,Department of Public Safety and Emergency Preparedness,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,136,Department of Public Works and Government Services,1,Operating/Program,2266031098,2175092763
FY 2011-12,136,Department of Public Works and Government Services,10,Grants & Contributions,5210000,5053348
FY 2011-12,136,Department of Public Works and Government Services,5,Capital,509318814,489566916
FY 2011-12,136,Department of Public Works and Government Services,6,Other,1,0
FY 2011-12,136,Department of Public Works and Government Services,7,Other,1,0
FY 2011-12,136,Department of Public Works and Government Services,S,Collection Agency Fees,1170,1169.69
FY 2011-12,136,Department of Public Works and Government Services,S,Consulting and Audit Canada Revolving Fund,2913824,2913824
FY 2011-12,136,Department of Public Works and Government Services,S,Contributions to employee benefit plans,115151728,115151728
FY 2011-12,136,Department of Public Works and Government Services,S,Defence Production Revolving Fund,100000000,0
FY 2011-12,136,Department of Public Works and Government Services,S,Losses on Foreign Exchange,29229,29228.66
FY 2011-12,136,Department of Public Works and Government Services,S,Optional Services Revolving Fund,40900918,2015634.06
FY 2011-12,136,Department of Public Works and Government Services,S,Payment in lieu of taxes to municipalities and other taxing authorities,158371,158371
FY 2011-12,136,Department of Public Works and Government Services,S,Real Property Disposition Revolving Fund,464448,-6880837.73
FY 2011-12,136,Department of Public Works and Government Services,S,Real Property Services Revolving Fund,190033203,6092305.42
FY 2011-12,136,Department of Public Works and Government Services,S,Refunds of amounts credited to revenues in previous years,649557,649556.89
FY 2011-12,136,Department of Public Works and Government Services,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,136,Department of Public Works and Government Services,S,Spending of proceeds from the disposal of surplus Crown assets,616108,371855.28
FY 2011-12,136,Department of Public Works and Government Services,S,Translation Bureau Revolving Fund,37799873,3215146.25
FY 2011-12,137,Department of the Environment,1,Operating/Program,821643348,763861638
FY 2011-12,137,Department of the Environment,10,Grants & Contributions,93927936,72471998
FY 2011-12,137,Department of the Environment,5,Capital,56549748,45932023
FY 2011-12,137,Department of the Environment,S,Contributions to employee benefit plans,90825593,90825592.77
FY 2011-12,137,Department of the Environment,S,Nature Conservancy of Canada,33695148,33695148
FY 2011-12,137,Department of the Environment,S,Salary and Motor Car Allowance,77536,77536.36
FY 2011-12,137,Department of the Environment,S,Spending of proceeds from the disposal of surplus Crown assets,2250908,1612319.86
FY 2011-12,138,Department of Transport,1,Operating/Program,626321153,594715998
FY 2011-12,138,Department of Transport,10,Grants & Contributions,721222520,365023967
FY 2011-12,138,Department of Transport,17,Debt Forgiveness,22646108,22646108
FY 2011-12,138,Department of Transport,5,Capital,93857621,69167107
FY 2011-12,138,Department of Transport,S,Contributions to employee benefit plans,74921497,74921496.69
FY 2011-12,138,Department of Transport,S,Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,59075229,59075229
FY 2011-12,138,Department of Transport,S,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,83949521,83949521.37
FY 2011-12,138,Department of Transport,S,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",2584026,2584026.49
