"fy_ef","organization","estimates_document","statutory_item","authorities"
"FY 2013-14","Department of Foreign Affairs, Trade and Development","Supplementary Estimates B","Advance Market Commitment for Pneumococcal Vaccines",17000000
"FY 2013-14","Department of Health","Supplementary Estimates B","Contributions to employee benefit plans",1173218
"FY 2013-14","Department of Health","Supplementary Estimates B","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",58860280
"FY 2013-14","Department of Industry","Supplementary Estimates B","Contributions to employee benefit plans",210233
"FY 2013-14","Department of Industry","Supplementary Estimates B","Canadian Youth Business Foundation",9000000
"FY 2013-14","Department of Justice","Supplementary Estimates B","Contributions to employee benefit plans",147123
"FY 2013-14","Department of National Defence","Supplementary Estimates B","Contributions to employee benefit plans",416583
"FY 2013-14","Department of Natural Resources","Supplementary Estimates B","Contributions to employee benefit plans",474680
"FY 2013-14","Department of Public Works and Government Services","Supplementary Estimates B","Contributions to employee benefit plans",2207820
"FY 2013-14","Department of Transport","Supplementary Estimates B","Contributions to employee benefit plans",645075
"FY 2013-14","Department of Transport","Supplementary Estimates B","Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act",1500000
"FY 2013-14","Department of the Environment","Supplementary Estimates B","Contributions to employee benefit plans",556365
"FY 2013-14","Economic Development Agency of Canada for the Regions of Quebec","Supplementary Estimates B","Contributions to employee benefit plans",189428
"FY 2013-14","Federal Economic Development Agency for Southern Ontario","Supplementary Estimates B","Salary and Motor Car Allowance",2000
"FY 2013-14","House of Commons","Supplementary Estimates B","Members of the House of Commons - Salaries and allowances of Officers and Members of the House of Commons under the Parliament of Canada Act and contributions to the Members of Parliament Retiring Allowances Account and the Members of Parliament Retirement Compensation Arrangements Account",776171
"FY 2013-14","National Research Council of Canada","Supplementary Estimates B","Contributions to employee benefit plans",6867838
"FY 2013-14","Natural Sciences and Engineering Research Council","Supplementary Estimates B","Contributions to employee benefit plans",55535
"FY 2013-14","Office of the Senate Ethics Officer","Supplementary Estimates B","Contributions to employee benefit plans",6000
"FY 2013-14","Parks Canada Agency","Supplementary Estimates B","Contributions to employee benefit plans",394209
"FY 2013-14","Privy Council Office","Supplementary Estimates B","Contributions to employee benefit plans",87211
"FY 2013-14","Public Health Agency of Canada","Supplementary Estimates B","Contributions to employee benefit plans",651632
"FY 2013-14","Public Health Agency of Canada","Supplementary Estimates B","Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",14027197
"FY 2013-14","Registry of the Specific Claims Tribunal","Supplementary Estimates B","Contributions to employee benefit plans",202932
"FY 2013-14","Shared Services Canada","Supplementary Estimates B","Contributions to employee benefit plans",100452
"FY 2013-14","Social Sciences and Humanities Research Council","Supplementary Estimates B","Contributions to employee benefit plans",19833
"FY 2013-14","Statistics Canada","Supplementary Estimates B","Contributions to employee benefit plans",5048433
"FY 2013-14","Treasury Board Secretariat","Supplementary Estimates B","Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act",443000000
"FY 2013-14","Treasury Board Secretariat","Supplementary Estimates B","Contributions to employee benefit plans",307647
"FY 2013-14","Atlantic Canada Opportunities Agency","Supplementary Estimates C","Contributions to employee benefit plans",15100
"FY 2013-14","Canada Border Services Agency","Supplementary Estimates C","Contributions to employee benefit plans",223434
"FY 2013-14","Canada Revenue Agency","Supplementary Estimates C","Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",-253000000
"FY 2013-14","Canada Revenue Agency","Supplementary Estimates C","Contributions to employee benefit plans",915122
"FY 2013-14","Canadian Northern Economic Development Agency","Supplementary Estimates C","Contributions to employee benefit plans",199707
"FY 2013-14","Department of Citizenship and Immigration","Supplementary Estimates C","Contributions to employee benefit plans",247108
"FY 2013-14","Department of Citizenship and Immigration","Supplementary Estimates C","Salary and Motor Car Allowance",2000
"FY 2013-14","Department of Citizenship and Immigration","Supplementary Estimates C","Fees returned in connection with a terminated application",-18800000
"FY 2013-14","Department of Crown-Indigenous Relations and Northern Affairs","Supplementary Estimates C","Contributions to employee benefit plans",28358
"FY 2013-14","Department of Finance","Supplementary Estimates C","Youth Allowances Recovery (Federal-Provincial Fiscal Revision Act, 1964)",-874000
"FY 2013-14","Department of Finance","Supplementary Estimates C","Incentive for provinces to eliminate taxes on capital (Part IV Federal-Provincial Fiscal Arrangements Act)",92325000
"FY 2013-14","Department of Finance","Supplementary Estimates C","Alternative Payments for Standing Programs (Part VI - Federal-Provincial Fiscal Arrangements Act)",-4380000
"FY 2013-14","Department of Finance","Supplementary Estimates C","Statutory Subsidies (Constitution Acts, 1867-1982, and other statutory authorities)",1969502
"FY 2013-14","Department of Finance","Supplementary Estimates C","Additional fiscal equalization to Nova Scotia (Part I - Federal-Provincial Fiscal Arrangements Act)",14472000
"FY 2013-14","Department of Finance","Supplementary Estimates C","Interest on Unmatured Debt",-182000000
"FY 2013-14","Department of Finance","Supplementary Estimates C","Payment to Ontario related to the Canada Health Transfer (Budget Implementation Act,2009)",10052000
"FY 2013-14","Department of Finance","Supplementary Estimates C","Contributions to employee benefit plans",352481
"FY 2013-14","Department of Finance","Supplementary Estimates C","Other Interest Costs",-59000000
"FY 2013-14","Department of Fisheries and Oceans","Supplementary Estimates C","Contributions to employee benefit plans",1254515
"FY 2013-14","Department of Foreign Affairs, Trade and Development","Supplementary Estimates C","Contributions to employee benefit plans",1181124
"FY 2013-14","Department of Health","Supplementary Estimates C","Contributions to employee benefit plans",74338
"FY 2013-14","Department of Justice","Supplementary Estimates C","Contributions to employee benefit plans",26616
"FY 2013-14","Department of Public Safety and Emergency Preparedness","Supplementary Estimates C","Contributions to employee benefit plans",55021
"FY 2013-14","Department of Public Works and Government Services","Supplementary Estimates C","Contributions to employee benefit plans",213123
"FY 2013-14","Department of the Environment","Supplementary Estimates C","Nature Conservancy of Canada",20000000
"FY 2013-14","House of Commons","Supplementary Estimates C","Contributions to employee benefit plans",91285
"FY 2013-14","Parks Canada Agency","Supplementary Estimates C","Contributions to employee benefit plans",150000
"FY 2013-14","Privy Council Office","Supplementary Estimates C","Contributions to employee benefit plans",310580
"FY 2013-14","Treasury Board Secretariat","Supplementary Estimates C","Contributions to employee benefit plans",151999
"FY 2014-15","Atlantic Canada Opportunities Agency","Main Estimates","Contributions to employee benefit plans",8340703
"FY 2014-15","Atlantic Canada Opportunities Agency","Main Estimates","Salary and Motor Car Allowance",2000
"FY 2014-15","Canada Border Services Agency","Main Estimates","Contributions to employee benefit plans",176570197
"FY 2014-15","Canada Industrial Relations Board","Main Estimates","Contributions to employee benefit plans",1540245
"FY 2014-15","Canada Revenue Agency","Main Estimates","Salary and Motor Car Allowance",80300
"FY 2014-15","Canada Revenue Agency","Main Estimates","Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act",179308529
"FY 2014-15","Canada Revenue Agency","Main Estimates","Contributions to employee benefit plans",405914620
"FY 2014-15","Canada Revenue Agency","Main Estimates","Children's special allowance payments",246000000
"FY 2014-15","Canada Revenue Agency","Main Estimates","Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",80000000
